Year,Strikes
1947,270
1948,245
1949,262
1950,424
1951,415
1952,470
1953,437
1954,265
1955,363
1956,287
1957,279
1958,332
1959,245
1960,222
1961,195
1962,211
1963,181
1964,246
1965,268
1966,321
1967,381
1968,392
1969,412
1970,381
1971,298
1972,250
1973,317
1974,424
1975,235
1976,231
1977,298
1978,219
1979,235
1980,187
1981,145
1982,96
1983,81
1984,62
1985,54
1986,69
1987,46
1988,40
1989,51
1990,44
1991,40
1992,35
1993,35
1994,45
1995,31
1996,37
1997,29
1998,34
1999,17
2000,39
2001,29
2002,19
2003,14
2004,17
2005,22
2006,20
2007,21
2008,15
2009,5
2010,11
2011,19
2012,19
2013,15
2014,11
2015,12
2016,15
2017,7
2018,20
2019,25
2020,8
